병원코드(쇼핑몰),병원명,주소,병원코드(SAP)
1,test,서울특별시 강남구 논현로 847 (신사동),sap1
2358,가디병원,서울특별시 금천구 가마산로 96 (가산동) ( 대륭테크노타운8차 ),sap2
2353,코드엠,서울특별시 금천구 서부샛길 606 (가산동) 대성디폴리스지식산업센터,sap3
4704,케이비엠메디칼,서울 구로구 경인로 393-7 (고척동. 일이삼전자타운),sap4
4705,"라온메디칼 (대구, 경북 대리점)",대구광역시 동구 화랑로25길 42 (효목동),sap5
4706,메디아트 (호남권 대리점),광주 북구 설죽로 495-10 (일곡동),sap6
4707,케이제이메드 (부울경 대리점),부산 연제구 중앙대로 1073 (연산동. (주)부산은행건물),sap7
4708,이즈메드 (충청권 대리점),대전 유성구 테크노4로 17 (관평동),sap8
4709,브랜드유의원,전남여수시 시청로 46,sap9
4710,유진스의원,서울 강남구 압구정로28길 49 (신사동. 유림아트홀),sap10
4711,동안나라의원,충북 청주시 흥덕구 대농로 50 (복대동),sap11
4712,클로엔성형외과,서울 서초구 서초대로73길 42 (서초동. 강남역리가스퀘어),sap12
4713,고운세상김양제장봉석피부과,부산 부산진구 중앙대로 686 (부전동),sap13
4714,청담 밴스의원,서울 강남구 선릉로 822 (청담동. 체월든),sap14
4715,유앤아이의원 명동점,서울 중구 남대문로 78 (명동1가. 타임워크명동빌딩),sap15
4716,연세피부과의원,충북 제천시 독순로 79 (중앙로2가. 내토메디컬센터),sap16
4717,프로젝트 유 의원,서울 마포구 양화로 162 (동교동),sap17
4718,메디컬오한의원,서울 강남구 논현로 820 (신사동. 제이씨빌딩),sap18
4719,드올의원,서울 강남구 도산대로 122 (논현동. 에메랄드타워),sap19
4720,데네브의원,경기 안양시 동안구 호계동 995-18,sap20
4721,세일플러스의원,대전 중구 대종로 169 (석교동),sap21
4723,갤러리아의원,충남 천안시 서북구 공원로 219 (불당동),sap22
4724,서대문우태하피부과,서울 서대문구 응암로 64 (북가좌동),sap23
4725,맑은결의원,대구 달서구 와룡로 123 (감삼동. 죽전역 동화아이위시),sap24
4726,화이트필의원,경북 경산시 경안로 202 (중방동),sap25
4727,청당라이프의원,충남 천안시 동남구 청당5로 36 (청당동),sap26
4728,닥터오의원,서울 영등포구 선유로 63 (문래동6가. EEU동신타워),sap27
4729,리프트성형외과의원,대구 중구 달구벌대로 2127 (봉산동. S타워),sap28
4730,글로미의원,대구 중구 동성로2길 81 (동성로2가),sap29
4731,민성형외과,전남 여수시 망마로 39 (학동. 준빌딩),sap30
4732,아이워너비의원,대전 유성구 엑스포로 1 (도룡동),sap31
4733,클레르피부과,세종특별자치시 한누리대로 1820 (반곡동. 왕관빌딩),sap32
4734,룩스웰의원,충북 청주시 흥덕구 대농로 39 (복대동),sap33
4735,하이린의원,대구 중구 달구벌대로 2033 (동산동. 엘디스리젠트호텔),sap34
4736,잇츠미의원,세종특별자치시 한누리대로 253 (나성동. 에스빌딩),sap35
4737,잇츠미의원,대전 서구 대덕대로 223 (둔산동),sap36
4738,황금피부과의원,대구 수성구 동대구로 111 (황금동. 황금빌딩),sap37
4740,뷰티제이의원,경남 창원시 마산회원구 양덕로 190 (석전동),sap38
4741,더웰피부과의원,대전 서구 구봉로131번길 49 (관저동),sap39
4742,스타S피부과,대구 중구 중앙대로 366 (덕산동),sap40
4743,잇츠미의원,충남 천안시 동남구 만남로 50 (신부동. 터미널프라자),sap41
4744,밴스의원 천안,충남 천안시 서북구 불당21로 67-18 (불당동),sap42
4745,쉬즈위시의원,부산 부산진구 동평로 83 (당감동. 미래메디칼),sap43
4746,블리비의원 안양,경기 안양시 동안구 시민대로 214 (호계동. 다운타운빌딩),sap44
4747,스노우의원,경기 평택시 고덕국제7로 117 (고덕동),sap45
4748,미호의원,경남 양산시 동면 금오13길 20 (석산리. 센텀빌딩),sap46
4749,수피부과의원,대구 남구 명덕로 326 (이천동),sap47
4750,로아르피부과의원,부산 금정구 금강로 441 (구서동. 이강빌딩),sap48
4752,더블유피부과의원,대전 서구 대덕대로 195 (둔산동),sap49
4753,뷰레스트의원,경기 화성시 동탄대로 537 (오산동),sap50
4755,블레싱피부과,서울 서초구 반포대로 291 (반포동. 원베일리 스퀘어),sap51
4756,W클리닉의원,서울 강남구 테헤란로 513 (삼성동. 삼성동 K-TOWER),sap52
4758,서울피부과의원,부산 해운대구 해운대해변로 154 (우동. 마리나동원),sap53
4759,늘봄피부과의원,광주 북구 북문대로 88 (운암동. 운암2차 남양휴튼),sap54
4760,톤즈의원 수원광교점,경기 수원시 영통구 에듀타운로 102 (이의동. 광교중앙역 SK VIEW),sap55
4761,뷰티라운지의원,서울 용산구 한강대로 109 (한강로2가. 용성비즈텔),sap56
4763,청담헤아린의원,부산 해운대구 센텀동로 9 (우동. 트럼프월드센텀아파트),sap57
4764,에이미의원,충남 계룡시 서금암2길 20 (금암동),sap58
4765,클린앤피부과,충청남도 천안시 서북구 불당21로 67-8 (불당동),sap59
4767,수미인의원,울산 울주군 범서읍 구영로 104 (구영리),sap60
4768,연세엘레핀의원,울산 남구 삼산중로 69 (달동),sap61
4769,브이에스라인의원 일산점,경기 고양시 일산동구 정발산로 31-17 (장항동),sap62
4770,파르베의원,대구 중구 남일동 58,sap63
4771,클린스의원,충남 아산시 탕정면 한들물빛도시로 88 (매곡리. 거산타워),sap64
4772,제이원성형외과,충북 청주시 흥덕구 2순환로 1258 (가경동),sap65
4773,오라클피부과의원,광주 북구 하서로 395 (양산동. 빛고을 여성병원),sap66
4774,스타피부과의원,부산 부산진구 서면로 74 (부전동. 아이온시티빌딩),sap67
4775,미미썸의원 김해점,경남 김해시 경원로 67 (내동),sap68
4778,제이린의원,부산 부산진구 중앙대로 672 (부전동. 삼정타워),sap69
4779,창원하얀나라피부과,경남 창원시 성산구 상남동 10-5,sap70
4781,고운세상피부과의원(서부산점),부산 강서구 명지국제5로 42 (명지동. 동진빌딩),sap71
